clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 13,4,Bayern München,24,13,7,3,3,34,18
Temporada2020,Jornada 13,5,B. Dortmund,23,13,6,5,2,28,19
Temporada2020,Jornada 13,6,SC Freiburg,22,13,6,4,3,23,17
Temporada2020,Jornada 13,7,B. Leverkusen,22,13,6,4,3,20,17
Temporada2020,Jornada 13,8,Hoffenheim,21,13,6,3,4,18,20
Temporada2020,Jornada 13,9,Wolfsburg,20,13,5,5,3,15,13
Temporada2020,Jornada 13,10,Eintracht,17,13,5,2,6,22,20
Temporada2020,Jornada 13,11,Union Berlin,16,13,5,1,7,16,19
Temporada2020,Jornada 13,12,Mainz 05,15,13,5,0,8,19,32
Temporada2020,Jornada 13,13,Werder Bremen,14,13,3,5,5,22,28
Temporada2020,Jornada 13,14,FC Augsburg,14,13,3,5,5,18,25
Temporada2020,Jornada 13,15,Fortuna,12,13,3,3,7,16,24
Temporada2020,Jornada 13,16,Hertha BSC,11,13,3,2,8,18,27
Temporada2020,Jornada 13,17,Köln,8,13,2,2,9,12,28
Temporada2020,Jornada 13,18,Paderborn,5,13,1,2,10,16,32
Temporada2020,Jornada 14,1,Monchengladbach,31,14,10,1,3,30,16
Temporada2020,Jornada 14,2,RB Leipzig,30,14,9,3,2,39,16
Temporada2020,Jornada 14,3,B. Dortmund,26,14,7,5,2,33,19
Temporada2020,Jornada 14,4,Schalke 04,25,14,7,4,3,25,18
Temporada2020,Jornada 14,5,SC Freiburg,25,14,7,4,3,24,17
Temporada2020,Jornada 14,6,B. Leverkusen,25,14,7,4,3,22,18
Temporada2020,Jornada 14,7,Bayern München,24,14,7,3,4,35,20
Temporada2020,Jornada 14,8,Hoffenheim,21,14,6,3,5,19,23
Temporada2020,Jornada 14,9,Wolfsburg,20,14,5,5,4,15,14
Temporada2020,Jornada 14,10,Union Berlin,19,14,6,1,7,18,19
