TEMPORADA,JORNADA,REFERIDO,LOCAL,VISITANTE,RESULTADO,RIVALIDAD,ROTACION TITULARES,ROTACION SUPLENTES,ROTACION PORTEROS,ROTACION DEFENSAS,ROTACION MEDIOS,ROTACION DELANTEROS,DIAS DESCANSO
Temporada2020,Jornada 8,LOCAL,Fortuna,Mainz 05,GANADO,2,11,7,1,0,0,0,15
Temporada2020,Jornada 8,VISITANTE,Fortuna,Mainz 05,PERDIDO,-2,2,2,0,1,1,1,14
Temporada2020,Jornada 8,LOCAL,Eintracht,B. Leverkusen,GANADO,2,11,7,1,0,0,0,12
Temporada2020,Jornada 8,VISITANTE,Eintracht,B. Leverkusen,PERDIDO,-2,4,4,0,2,1,1,13
Temporada2020,Jornada 8,LOCAL,Köln,Paderborn,GANADO,-1,0,0,0,0,0,0,15
Temporada2020,Jornada 8,VISITANTE,Köln,Paderborn,PERDIDO,1,3,3,0,1,1,2,15
Temporada2020,Jornada 8,LOCAL,Hoffenheim,Schalke 04,GANADO,6,2,3,0,1,1,1,15
Temporada2020,Jornada 8,VISITANTE,Hoffenheim,Schalke 04,PERDIDO,-6,2,1,0,0,1,1,15
Temporada2020,Jornada 8,LOCAL,RB Leipzig,Wolfsburg,EMPATADO,2,3,3,0,1,1,1,14
Temporada2020,Jornada 8,VISITANTE,RB Leipzig,Wolfsburg,EMPATADO,-2,3,4,0,2,0,2,13
Temporada2020,Jornada 8,LOCAL,Union Berlin,SC Freiburg,GANADO,11,2,1,0,1,0,1,13
Temporada2020,Jornada 8,VISITANTE,Union Berlin,SC Freiburg,PERDIDO,-11,1,0,0,1,0,0,14
Temporada2020,Jornada 8,LOCAL,Werder Bremen,Hertha BSC,EMPATADO,1,0,0,0,0,0,0,13
Temporada2020,Jornada 8,VISITANTE,Werder Bremen,Hertha BSC,EMPATADO,-1,1,2,0,1,0,0,15
Temporada2020,Jornada 9,LOCAL,B. Leverkusen,Werder Bremen,EMPATADO,-3,3,4,0,2,1,1,4
Temporada2020,Jornada 9,VISITANTE,B. Leverkusen,Werder Bremen,EMPATADO,3,1,1,0,1,0,0,7
Temporada2020,Jornada 9,LOCAL,Bayern München,Union Berlin,GANADO,-11,4,3,0,2,1,2,4
Temporada2020,Jornada 9,VISITANTE,Bayern München,Union Berlin,PERDIDO,11,2,1,0,2,1,0,7
Temporada2020,Jornada 9,LOCAL,Monchengladbach,Eintracht,GANADO,-7,11,7,1,0,0,0,3
Temporada2020,Jornada 9,VISITANTE,Monchengladbach,Eintracht,PERDIDO,7,11,7,1,0,0,0,3
Temporada2020,Jornada 9,LOCAL,SC Freiburg,RB Leipzig,GANADO,1,2,-1,1,0,1,0,7
Temporada2020,Jornada 9,VISITANTE,SC Freiburg,RB Leipzig,PERDIDO,-1,4,5,0,1,2,1,3
Temporada2020,Jornada 9,LOCAL,Hertha BSC,Hoffenheim,PERDIDO,-1,2,3,0,1,0,1,7
Temporada2020,Jornada 9,VISITANTE,Hertha BSC,Hoffenheim,GANADO,1,3,3,0,1,1,1,6
Temporada2020,Jornada 9,LOCAL,Mainz 05,Köln,GANADO,2,3,3,0,0,1,2,6
Temporada2020,Jornada 9,VISITANTE,Mainz 05,Köln,PERDIDO,-2,0,0,0,0,0,0,5
Temporada2020,Jornada 9,LOCAL,Paderborn,Fortuna,GANADO,5,3,1,0,1,1,1,6
Temporada2020,Jornada 9,VISITANTE,Paderborn,Fortuna,PERDIDO,-5,11,7,1,0,0,0,7
Temporada2020,Jornada 9,LOCAL,Schalke 04,B. Dortmund,EMPATADO,3,1,0,0,0,1,0,6
Temporada2020,Jornada 9,VISITANTE,Schalke 04,B. Dortmund,EMPATADO,-3,5,5,1,2,1,2,3
Temporada2020,Jornada 9,LOCAL,Wolfsburg,FC Augsburg,EMPATADO,-14,3,4,0,1,1,1,3
Temporada2020,Jornada 9,VISITANTE,Wolfsburg,FC Augsburg,EMPATADO,14,2,0,0,1,1,1,8
Temporada2020,Jornada 10,LOCAL,FC Augsburg,Schalke 04,PERDIDO,10,0,0,0,0,0,0,7
Temporada2020,Jornada 10,VISITANTE,FC Augsburg,Schalke 04,GANADO,-10,4,3,0,1,1,2,5
Temporada2020,Jornada 10,LOCAL,B. Leverkusen,Monchengladbach,PERDIDO,7,2,3,0,1,1,0,4
Temporada2020,Jornada 10,VISITANTE,B. Leverkusen,Monchengladbach,GANADO,-7,11,7,1,0,0,0,3
Temporada2020,Jornada 10,LOCAL,B. Dortmund,Wolfsburg,GANADO,1,4,5,0,1,2,2,3
Temporada2020,Jornada 10,VISITANTE,B. Dortmund,Wolfsburg,PERDIDO,-1,3,3,0,0,1,2,3
Temporada2020,Jornada 10,LOCAL,Fortuna,Köln,GANADO,-2,11,7,1,0,0,0,4
Temporada2020,Jornada 10,VISITANTE,Fortuna,Köln,PERDIDO,2,1,0,0,0,1,1,5
Temporada2020,Jornada 10,LOCAL,Eintracht,Bayern München,GANADO,7,11,7,1,0,0,0,3
Temporada2020,Jornada 10,VISITANTE,Eintracht,Bayern München,PERDIDO,-7,2,2,0,1,0,2,4
Temporada2020,Jornada 10,LOCAL,Hoffenheim,Paderborn,GANADO,-8,1,1,0,0,0,1,3
Temporada2020,Jornada 10,VISITANTE,Hoffenheim,Paderborn,PERDIDO,8,2,1,0,0,1,1,3
Temporada2020,Jornada 10,LOCAL,RB Leipzig,Mainz 05,GANADO,-7,4,5,0,1,2,1,3
Temporada2020,Jornada 10,VISITANTE,RB Leipzig,Mainz 05,PERDIDO,7,2,1,0,2,0,0,8
Temporada2020,Jornada 10,LOCAL,Union Berlin,Hertha BSC,GANADO,4,1,0,0,1,1,0,4
Temporada2020,Jornada 10,VISITANTE,Union Berlin,Hertha BSC,PERDIDO,-4,3,3,0,2,1,1,3
Temporada2020,Jornada 10,LOCAL,Werder Bremen,SC Freiburg,EMPATADO,9,2,1,0,1,1,1,3
Temporada2020,Jornada 10,VISITANTE,Werder Bremen,SC Freiburg,EMPATADO,-9,3,2,0,0,2,3,4
Temporada2020,Jornada 11,LOCAL,Bayern München,B. Dortmund,GANADO,2,3,2,0,1,2,1,3
Temporada2020,Jornada 11,VISITANTE,Bayern München,B. Dortmund,PERDIDO,-2,5,5,1,1,2,2,4
Temporada2020,Jornada 11,LOCAL,Monchengladbach,Werder Bremen,GANADO,-11,11,7,1,0,0,0,3
Temporada2020,Jornada 11,VISITANTE,Monchengladbach,Werder Bremen,PERDIDO,11,0,-2,0,0,0,0,8
Temporada2020,Jornada 11,LOCAL,Köln,Hoffenheim,PERDIDO,8,3,1,0,2,2,1,5
Temporada2020,Jornada 11,VISITANTE,Köln,Hoffenheim,GANADO,-8,1,3,0,1,0,0,7
Temporada2020,Jornada 11,LOCAL,SC Freiburg,Eintracht,GANADO,-2,1,0,0,0,1,0,8
Temporada2020,Jornada 11,VISITANTE,SC Freiburg,Eintracht,PERDIDO,2,11,7,1,0,0,0,3
Temporada2020,Jornada 11,LOCAL,Hertha BSC,RB Leipzig,PERDIDO,8,3,2,0,1,2,1,7
Temporada2020,Jornada 11,VISITANTE,Hertha BSC,RB Leipzig,GANADO,-8,2,3,0,1,2,0,4
Temporada2020,Jornada 11,LOCAL,Mainz 05,Union Berlin,PERDIDO,1,3,2,0,2,1,0,7
Temporada2020,Jornada 11,VISITANTE,Mainz 05,Union Berlin,GANADO,-1,1,1,0,0,0,1,7
Temporada2020,Jornada 11,LOCAL,Paderborn,FC Augsburg,PERDIDO,2,4,3,0,1,1,2,8
Temporada2020,Jornada 11,VISITANTE,Paderborn,FC Augsburg,GANADO,-2,1,1,0,1,0,0,6
Temporada2020,Jornada 11,LOCAL,Schalke 04,Fortuna,EMPATADO,-7,2,1,0,1,2,1,6
Temporada2020,Jornada 11,VISITANTE,Schalke 04,Fortuna,EMPATADO,7,11,7,1,0,0,0,6
Temporada2020,Jornada 11,LOCAL,Wolfsburg,B. Leverkusen,PERDIDO,-2,2,2,0,1,0,1,3
Temporada2020,Jornada 11,VISITANTE,Wolfsburg,B. Leverkusen,GANADO,2,2,3,0,0,2,1,4
Temporada2020,Jornada 12,LOCAL,FC Augsburg,Hertha BSC,GANADO,3,2,3,0,1,0,1,15
Temporada2020,Jornada 12,VISITANTE,FC Augsburg,Hertha BSC,PERDIDO,-3,3,3,0,1,1,1,15
Temporada2020,Jornada 12,LOCAL,B. Leverkusen,SC Freiburg,EMPATADO,4,1,2,0,0,1,1,13
Temporada2020,Jornada 12,VISITANTE,B. Leverkusen,SC Freiburg,EMPATADO,-4,2,2,0,0,1,2,13
Temporada2020,Jornada 12,LOCAL,B. Dortmund,Paderborn,EMPATADO,-12,5,5,0,2,2,2,13
Temporada2020,Jornada 12,VISITANTE,B. Dortmund,Paderborn,EMPATADO,12,1,2,0,0,1,1,13
Temporada2020,Jornada 12,LOCAL,Fortuna,Bayern München,PERDIDO,10,11,7,1,0,0,0,14
Temporada2020,Jornada 12,VISITANTE,Fortuna,Bayern München,GANADO,-10,2,2,0,0,2,1,14
Temporada2020,Jornada 12,LOCAL,Eintracht,Wolfsburg,PERDIDO,-1,11,7,1,0,0,0,13
Temporada2020,Jornada 12,VISITANTE,Eintracht,Wolfsburg,GANADO,1,3,4,1,1,0,1,13
Temporada2020,Jornada 12,LOCAL,Hoffenheim,Mainz 05,PERDIDO,-11,1,2,0,1,0,0,16
Temporada2020,Jornada 12,VISITANTE,Hoffenheim,Mainz 05,GANADO,11,2,2,0,1,1,1,15
Temporada2020,Jornada 12,LOCAL,RB Leipzig,Köln,GANADO,-15,2,2,0,1,1,1,14
Temporada2020,Jornada 12,VISITANTE,RB Leipzig,Köln,PERDIDO,15,4,3,0,1,3,2,15
Temporada2020,Jornada 12,LOCAL,Union Berlin,Monchengladbach,GANADO,10,2,1,0,0,1,1,14
Temporada2020,Jornada 12,VISITANTE,Union Berlin,Monchengladbach,PERDIDO,-10,11,7,1,0,0,0,13
Temporada2020,Jornada 12,LOCAL,Werder Bremen,Schalke 04,PERDIDO,7,3,0,0,2,1,0,13
Temporada2020,Jornada 12,VISITANTE,Werder Bremen,Schalke 04,GANADO,-7,2,2,0,1,2,1,14
Temporada2020,Jornada 13,LOCAL,Bayern München,B. Leverkusen,PERDIDO,-6,2,4,0,0,2,1,4
Temporada2020,Jornada 13,VISITANTE,Bayern München,B. Leverkusen,GANADO,6,3,3,0,1,1,1,4
Temporada2020,Jornada 13,LOCAL,Monchengladbach,SC Freiburg,GANADO,-3,11,7,1,0,0,0,3
Temporada2020,Jornada 13,VISITANTE,Monchengladbach,SC Freiburg,PERDIDO,3,2,3,0,2,0,1,8
Temporada2020,Jornada 13,LOCAL,Köln,FC Augsburg,EMPATADO,5,3,3,0,1,2,1,7
Temporada2020,Jornada 13,VISITANTE,Köln,FC Augsburg,EMPATADO,-5,1,0,0,0,0,1,6
Temporada2020,Jornada 13,LOCAL,Hertha BSC,B. Dortmund,PERDIDO,9,3,1,1,1,0,1,6
Temporada2020,Jornada 13,VISITANTE,Hertha BSC,B. Dortmund,GANADO,-9,5,4,0,3,1,1,3
Temporada2020,Jornada 13,LOCAL,Hoffenheim,Fortuna,EMPATADO,-8,3,3,0,2,0,2,6
Temporada2020,Jornada 13,VISITANTE,Hoffenheim,Fortuna,EMPATADO,8,11,7,1,0,0,0,7
Temporada2020,Jornada 13,LOCAL,Mainz 05,Eintracht,GANADO,3,1,0,0,0,1,0,8
