clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 17,11,Milan,21,17,6,3,8,16,24
Temporada2020,Jornada 17,12,Hellas Verona,20,17,5,5,7,17,20
Temporada2020,Jornada 17,13,Sassuolo,19,17,5,4,8,29,29
Temporada2020,Jornada 17,14,Udinese,18,17,5,3,9,13,28
Temporada2020,Jornada 17,15,Fiorentina,17,17,4,5,8,21,28
Temporada2020,Jornada 17,16,Lecce,15,17,3,6,8,22,35
Temporada2020,Jornada 17,17,Sampdoria,15,17,4,3,10,14,27
Temporada2020,Jornada 17,18,Brescia,14,17,4,2,11,15,29
Temporada2020,Jornada 17,19,SPAL,12,17,3,3,11,12,26
Temporada2020,Jornada 17,20,Genoa,11,17,2,5,10,17,35
Temporada2020,Jornada 18,1,Inter,45,18,14,3,1,39,15
Temporada2020,Jornada 18,2,Juventus,45,18,14,3,1,35,17
Temporada2020,Jornada 18,3,Lazio,40,18,12,4,2,40,17
Temporada2020,Jornada 18,4,Roma,35,18,10,5,3,33,19
Temporada2020,Jornada 18,5,Atalanta,34,18,10,4,4,48,25
Temporada2020,Jornada 18,6,Cagliari,29,18,8,5,5,33,27
Temporada2020,Jornada 18,7,Parma,25,18,7,4,7,24,25
Temporada2020,Jornada 18,8,Napoli,24,18,6,6,6,28,25
Temporada2020,Jornada 18,9,Torino,24,18,7,3,8,24,26
Temporada2020,Jornada 18,10,Hellas Verona,23,18,6,5,7,19,20
Temporada2020,Jornada 18,11,Bologna,23,18,6,5,7,28,30
Temporada2020,Jornada 18,12,Milan,22,18,6,4,8,16,24
Temporada2020,Jornada 18,13,Udinese,21,18,6,3,9,14,28
Temporada2020,Jornada 18,14,Sassuolo,19,18,5,4,9,30,31
Temporada2020,Jornada 18,15,Fiorentina,18,18,4,6,8,22,29
Temporada2020,Jornada 18,16,Sampdoria,16,18,4,4,10,14,27
Temporada2020,Jornada 18,17,Lecce,15,18,3,6,9,22,36
Temporada2020,Jornada 18,18,Brescia,14,18,4,2,12,16,31
Temporada2020,Jornada 18,19,Genoa,14,18,3,5,10,19,36
Temporada2020,Jornada 18,20,SPAL,12,18,3,3,12,12,28
Temporada2020,Jornada 19,1,Juventus,48,19,15,3,1,37,18
