Equipo,Jornada,Temporada,Cambios_defensa_partido,Cambio_jugador_lesion,Titulares_cambiados_jornada_anterior,Puntos_y,cut1_y,cut2_y
Real Sociedad,Jornada 8,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Real Sporting,Jornada 8,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Sevilla,Jornada 8,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Valencia,Jornada 8,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Villarreal,Jornada 8,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Alavés,Jornada 9,Temporada2017,1,1,2,"-0,611038","0,1860674","0,8903406"
Athletic Bilbao,Jornada 9,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Atlético Madrid,Jornada 9,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Barcelona,Jornada 9,Temporada2017,0,1,5,"-0,3471497","-0,0778209","0,6264523"
Celta de Vigo,Jornada 9,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Deportivo,Jornada 9,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Eibar,Jornada 9,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Espanyol,Jornada 9,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Granada,Jornada 9,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Las Palmas,Jornada 9,Temporada2017,1,1,2,"-0,611038","0,1860674","0,8903406"
Leganés,Jornada 9,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
Málaga,Jornada 9,Temporada2017,1,1,3,"-0,6330027","0,2080321","0,9123053"
Osasuna,Jornada 9,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Real Betis,Jornada 9,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Real Madrid,Jornada 9,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Real Sociedad,Jornada 9,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Real Sporting,Jornada 9,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Sevilla,Jornada 9,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Valencia,Jornada 9,Temporada2017,2,1,2,"-0,9408204","0,5158498","1,220123"
Villarreal,Jornada 9,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Alavés,Jornada 10,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Athletic Bilbao,Jornada 10,Temporada2017,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Atlético Madrid,Jornada 10,Temporada2017,0,1,2,"-0,2812556","-0,143715","0,5605582"
Barcelona,Jornada 10,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Celta de Vigo,Jornada 10,Temporada2017,1,1,2,"-0,611038","0,1860674","0,8903406"
Deportivo,Jornada 10,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Eibar,Jornada 10,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
Espanyol,Jornada 10,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Granada,Jornada 10,Temporada2017,0,1,4,"-0,325185","-0,0997856","0,6044876"
Las Palmas,Jornada 10,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Leganés,Jornada 10,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Málaga,Jornada 10,Temporada2017,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Osasuna,Jornada 10,Temporada2017,0,1,0,"-0,2373262","-0,1876444","0,5166288"
Real Betis,Jornada 10,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Real Madrid,Jornada 10,Temporada2017,1,1,1,"-0,5890733","0,1641027","0,8683759"
Real Sociedad,Jornada 10,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Real Sporting,Jornada 10,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
