Liga,Temporada,Jornada,Equipo,Posicion,Puntos,Goles a Favor,Goles en Contra,Local/Visitante,Resultado,Goles en Partido,Cambios realizados partido,Cambios realizados acumulados,Cambios realizados portero partido,Cambios realizados portero acumulados,Cambios realizados defensa partido,Cambios realizados defensa acumulados,Cambios realizados centrocampista partido,Cambios realizados centrocampista acumulados,Cambios realizados delantero partido,Cambios realizados delantero acumulados,Media minuto cambio partido,Media minuto cambio acumulado,Cambio jugador más asistencias partido,Cambio jugador más goles partido,Cambio jugador lesion partido,Cambio jugador amarilla partido,Cambio jugador roja partido,Titulares cambiados respecto jornada anterior,Cambio goleador jornada anterior,Cambio amarilla jornada anterior,Cambio roja jornada anterior,Cambio lesion jornada anterior,Lesiones en partido,Lesiones acumuladas,Amarillas partido,Amarillas acumuladas,Rojas partido,Rojas acumuladas,Posicion Local prepartido,Puntos local prepartido,Rival,Posicion rival,Puntos rival,Edad media,Peso medio,Altura media,Jornada intermedia
Serie A,Temporada2020,Jornada 1,Bologna,11,1,1,1,VISITANTE,1 - 1, 1,3,0,0,0,0,0,0,0,2,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Hellas Verona,,,28,75,183,0
Serie A,Temporada2020,Jornada 1,Hellas Verona,12,1,1,1,LOCAL,1 - 1,1 ,3,0,0,0,0,0,2,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,Bologna,,,26,74,183,0
Serie A,Temporada2020,Jornada 1,Fiorentina,13,0,3,4,LOCAL,3 - 4,3 ,3,0,0,0,0,0,1,0,2,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Napoli,,,23,74,183,0
Serie A,Temporada2020,Jornada 1,SPAL,14,0,2,3,LOCAL,2 - 3,2 ,3,0,0,0,0,0,2,0,0,0,71,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,Atalanta,,,29,76,183,0
Serie A,Temporada2020,Jornada 1,Sassuolo,15,0,1,2,VISITANTE,2 - 1, 1,3,0,0,0,2,0,1,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,Torino,,,25,75,183,0
Serie A,Temporada2020,Jornada 1,Cagliari,16,0,0,1,LOCAL,0 - 1,0 ,3,0,0,0,0,0,2,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Brescia,,,30,76,183,0
Serie A,Temporada2020,Jornada 1,Milan,17,0,0,1,VISITANTE,1 - 0, 0,3,0,0,0,0,0,1,0,1,0,70,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,,,Udinese,,,24,72,182,0
Serie A,Temporada2020,Jornada 1,Parma,18,0,0,1,LOCAL,0 - 1,0 ,3,0,0,0,0,0,2,0,1,0,73,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,Juventus,,,29,75,182,0
Serie A,Temporada2020,Jornada 1,Sampdoria,19,0,0,3,LOCAL,0 - 3,0 ,3,0,0,0,0,0,1,0,1,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Lazio,,,27,76,183,0
Serie A,Temporada2020,Jornada 1,Lecce,20,0,0,4,VISITANTE,4 - 0, 0,3,0,0,0,1,0,1,0,0,0,64,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,,,Inter,,,29,78,184,0
Serie A,Temporada2020,Jornada 2,Inter,1,6,6,1,VISITANTE,1 - 2, 2,3,3,0,0,0,0,2,2,1,1,75,72,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,3,Cagliari,16,0,28,77,183,0
Serie A,Temporada2020,Jornada 2,Juventus,2,6,5,3,LOCAL,4 - 3,4 ,3,3,0,0,1,0,1,1,1,2,50,72,0,0,1,0,0,1,1,0,0,0,1,0,3,3,0,0,7,3,Napoli,3,3,30,74,184,0
Serie A,Temporada2020,Jornada 2,Torino,3,6,5,3,VISITANTE,2 - 3, 3,2,3,0,0,0,1,1,1,1,0,80,64,0,0,0,1,0,4,1,1,0,0,0,0,1,4,0,0,5,3,Atalanta,4,3,28,74,181,0
