partidos_temporada,partidos_jornada,partidos_fecha,partidos_foto_local,partidos_equipo_local,partidos_resultado,partidos_foto_visitante,partidos_equipo_visitante
Temporada2020,Jornada 9,20 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1102.jpg?size=37x&5,Sevilla,1 - 0,https://thumb.resfu.com/img_data/escudos/small/1547.jpg?size=37x&5,Levante
Temporada2020,Jornada 10,18 Dic 19,https://thumb.resfu.com/img_data/escudos/small/429.jpg?size=37x&5,Barcelona,0 - 0,https://thumb.resfu.com/img_data/escudos/small/2107.jpg?size=37x&5,Real Madrid
Temporada2020,Jornada 10,26 Oct 19,https://thumb.resfu.com/img_data/escudos/small/369.jpg?size=37x&5,Atlético Madrid,2 - 0,https://thumb.resfu.com/img_data/escudos/small/347.jpg?size=37x&5,Athletic Bilbao
Temporada2020,Jornada 10,27 Oct 19,https://thumb.resfu.com/img_data/escudos/small/712.jpg?size=37x&5,Celta de Vigo,0 - 1,https://thumb.resfu.com/img_data/escudos/small/2120.jpg?size=37x&5,Real Sociedad
Temporada2020,Jornada 10,27 Oct 19,https://thumb.resfu.com/img_data/escudos/small/4235.jpg?size=37x&5,Granada,1 - 0,https://thumb.resfu.com/img_data/escudos/small/486.jpg?size=37x&5,Real Betis
Temporada2020,Jornada 10,26 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1535.jpg?size=37x&5,Leganés,1 - 0,https://thumb.resfu.com/img_data/escudos/small/1623.jpg?size=37x&5,Real Mallorca
Temporada2020,Jornada 10,27 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1547.jpg?size=37x&5,Levante,0 - 1,https://thumb.resfu.com/img_data/escudos/small/998.jpg?size=37x&5,Espanyol
Temporada2020,Jornada 10,27 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1887.jpg?size=37x&5,Osasuna,3 - 1,https://thumb.resfu.com/img_data/escudos/small/2647.jpg?size=37x&5,Valencia
Temporada2020,Jornada 10,27 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1102.jpg?size=37x&5,Sevilla,2 - 0,https://thumb.resfu.com/img_data/escudos/small/1217.jpg?size=37x&5,Getafe
Temporada2020,Jornada 10,25 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2716.jpg?size=37x&5,Villarreal,4 - 1,https://thumb.resfu.com/img_data/escudos/small/137.jpg?size=37x&5,Alavés
Temporada2020,Jornada 10,26 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2654.jpg?size=37x&5,Real Valladolid,2 - 0,https://thumb.resfu.com/img_data/escudos/small/957.jpg?size=37x&5,Eibar
Temporada2020,Jornada 11,29 Oct 19,https://thumb.resfu.com/img_data/escudos/small/137.jpg?size=37x&5,Alavés,1 - 1,https://thumb.resfu.com/img_data/escudos/small/369.jpg?size=37x&5,Atlético Madrid
Temporada2020,Jornada 11,30 Oct 19,https://thumb.resfu.com/img_data/escudos/small/347.jpg?size=37x&5,Athletic Bilbao,3 - 0,https://thumb.resfu.com/img_data/escudos/small/998.jpg?size=37x&5,Espanyol
Temporada2020,Jornada 11,29 Oct 19,https://thumb.resfu.com/img_data/escudos/small/429.jpg?size=37x&5,Barcelona,5 - 1,https://thumb.resfu.com/img_data/escudos/small/2654.jpg?size=37x&5,Real Valladolid
Temporada2020,Jornada 11,30 Oct 19,https://thumb.resfu.com/img_data/escudos/small/486.jpg?size=37x&5,Real Betis,2 - 1,https://thumb.resfu.com/img_data/escudos/small/712.jpg?size=37x&5,Celta de Vigo
Temporada2020,Jornada 11,31 Oct 19,https://thumb.resfu.com/img_data/escudos/small/957.jpg?size=37x&5,Eibar,2 - 1,https://thumb.resfu.com/img_data/escudos/small/2716.jpg?size=37x&5,Villarreal
Temporada2020,Jornada 11,31 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1217.jpg?size=37x&5,Getafe,3 - 1,https://thumb.resfu.com/img_data/escudos/small/4235.jpg?size=37x&5,Granada
Temporada2020,Jornada 11,31 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1623.jpg?size=37x&5,Real Mallorca,2 - 2,https://thumb.resfu.com/img_data/escudos/small/1887.jpg?size=37x&5,Osasuna
Temporada2020,Jornada 11,30 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2107.jpg?size=37x&5,Real Madrid,5 - 0,https://thumb.resfu.com/img_data/escudos/small/1535.jpg?size=37x&5,Leganés
Temporada2020,Jornada 11,30 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2120.jpg?size=37x&5,Real Sociedad,1 - 2,https://thumb.resfu.com/img_data/escudos/small/1547.jpg?size=37x&5,Levante
Temporada2020,Jornada 11,30 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2647.jpg?size=37x&5,Valencia,1 - 1,https://thumb.resfu.com/img_data/escudos/small/1102.jpg?size=37x&5,Sevilla
Temporada2020,Jornada 12,03 Nov 19,https://thumb.resfu.com/img_data/escudos/small/712.jpg?size=37x&5,Celta de Vigo,0 - 1,https://thumb.resfu.com/img_data/escudos/small/1217.jpg?size=37x&5,Getafe
Temporada2020,Jornada 12,02 Nov 19,https://thumb.resfu.com/img_data/escudos/small/998.jpg?size=37x&5,Espanyol,1 - 2,https://thumb.resfu.com/img_data/escudos/small/2647.jpg?size=37x&5,Valencia
Temporada2020,Jornada 12,03 Nov 19,https://thumb.resfu.com/img_data/escudos/small/4235.jpg?size=37x&5,Granada,1 - 2,https://thumb.resfu.com/img_data/escudos/small/2120.jpg?size=37x&5,Real Sociedad
Temporada2020,Jornada 12,03 Nov 19,https://thumb.resfu.com/img_data/escudos/small/1535.jpg?size=37x&5,Leganés,1 - 2,https://thumb.resfu.com/img_data/escudos/small/957.jpg?size=37x&5,Eibar
Temporada2020,Jornada 12,02 Nov 19,https://thumb.resfu.com/img_data/escudos/small/1547.jpg?size=37x&5,Levante,3 - 1,https://thumb.resfu.com/img_data/escudos/small/429.jpg?size=37x&5,Barcelona
Temporada2020,Jornada 12,03 Nov 19,https://thumb.resfu.com/img_data/escudos/small/1887.jpg?size=37x&5,Osasuna,4 - 2,https://thumb.resfu.com/img_data/escudos/small/137.jpg?size=37x&5,Alavés
Temporada2020,Jornada 12,02 Nov 19,https://thumb.resfu.com/img_data/escudos/small/2107.jpg?size=37x&5,Real Madrid,0 - 0,https://thumb.resfu.com/img_data/escudos/small/486.jpg?size=37x&5,Real Betis
Temporada2020,Jornada 12,02 Nov 19,https://thumb.resfu.com/img_data/escudos/small/1102.jpg?size=37x&5,Sevilla,1 - 1,https://thumb.resfu.com/img_data/escudos/small/369.jpg?size=37x&5,Atlético Madrid
Temporada2020,Jornada 12,03 Nov 19,https://thumb.resfu.com/img_data/escudos/small/2716.jpg?size=37x&5,Villarreal,0 - 0,https://thumb.resfu.com/img_data/escudos/small/347.jpg?size=37x&5,Athletic Bilbao
Temporada2020,Jornada 12,03 Nov 19,https://thumb.resfu.com/img_data/escudos/small/2654.jpg?size=37x&5,Real Valladolid,3 - 0,https://thumb.resfu.com/img_data/escudos/small/1623.jpg?size=37x&5,Real Mallorca
Temporada2020,Jornada 13,10 Nov 19,https://thumb.resfu.com/img_data/escudos/small/486.jpg?size=37x&5,Real Betis,1 - 2,https://thumb.resfu.com/img_data/escudos/small/1102.jpg?size=37x&5,Sevilla
