Liga,Temporada,Jornada,Equipo,Cambios realizados partido,Cambio lesion jornada anterior,,
Bundesliga,Temporada2020,Jornada 14,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 14,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 14,FC Augsburg,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 14,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 14,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 14,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 14,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 14,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 14,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 15,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,Bayern München,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,SC Freiburg,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 15,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 15,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 15,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 15,Köln,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 15,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 16,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 16,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 16,Bayern München,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 16,B. Dortmund,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 16,Schalke 04,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 16,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 16,B. Leverkusen,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 16,Wolfsburg,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 16,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 16,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 16,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 16,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 16,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 16,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 16,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 16,Werder Bremen,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 16,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 16,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 17,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 17,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 17,Bayern München,3,0,"0,3672102","1,4437013532"
