Liga,Temporada,Jornada,Equipo,Posicion,Puntos,Goles a Favor,Goles en Contra,Local/Visitante,Resultado,Goles en Partido,Cambios realizados partido,Cambios realizados acumulados,Cambios realizados portero partido,Cambios realizados portero acumulados,Cambios realizados defensa partido,Cambios realizados defensa acumulados,Cambios realizados centrocampista partido,Cambios realizados centrocampista acumulados,Cambios realizados delantero partido,Cambios realizados delantero acumulados,Media minuto cambio partido,Media minuto cambio acumulado,Cambio jugador más asistencias partido,Cambio jugador más goles partido,Cambio jugador lesion partido,Cambio jugador amarilla partido,Cambio jugador roja partido,Titulares cambiados respecto jornada anterior,Cambio goleador jornada anterior,Cambio amarilla jornada anterior,Cambio roja jornada anterior,Cambio lesion jornada anterior,Lesiones en partido,Lesiones acumuladas,Amarillas partido,Amarillas acumuladas,Rojas partido,Rojas acumuladas,Posicion Local prepartido,Puntos local prepartido,Rival,Posicion rival,Puntos rival,Edad media,Peso medio,Altura media,Jornada intermedia
Bundesliga,Temporada2020,Jornada 22,Schalke 04,6,36,32,27,VISITANTE,0 - 0, 0,3,59,0,0,1,7,1,25,1,22,73,73,0,0,0,1,0,2,0,0,0,0,0,4,2,36,0,1,6,35,Mainz 05,15,21,24,74,183,0
Bundesliga,Temporada2020,Jornada 22,SC Freiburg,7,33,31,31,VISITANTE,1 - 1, 1,2,60,0,1,0,9,1,14,1,34,85,69,0,0,0,0,0,3,0,0,0,0,0,4,1,29,0,1,8,32,FC Augsburg,12,26,27,76,182,0
Bundesliga,Temporada2020,Jornada 22,Hoffenheim,8,33,33,35,LOCAL,2 - 3,2 ,3,60,0,0,1,16,2,22,0,14,55,67,0,0,0,1,0,2,0,0,0,0,0,0,2,39,0,0,7,33,Wolfsburg,10,28,26,74,181,0
Bundesliga,Temporada2020,Jornada 22,Wolfsburg,9,31,28,28,VISITANTE,2 - 3, 3,3,61,0,0,0,8,0,11,3,41,82,73,0,0,0,1,0,3,1,0,1,1,0,1,2,36,0,1,10,28,Hoffenheim,7,33,26,77,185,0
Bundesliga,Temporada2020,Jornada 22,Eintracht,10,28,37,35,VISITANTE,4 - 0, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,B. Dortmund,4,39,,,,0
Bundesliga,Temporada2020,Jornada 22,FC Augsburg,11,27,34,45,LOCAL,1 - 1,1 ,3,61,0,0,2,10,0,23,1,25,59,71,0,0,1,0,0,2,0,0,0,0,1,3,4,35,0,0,12,26,SC Freiburg,8,32,28,77,183,0
Bundesliga,Temporada2020,Jornada 22,Union Berlin,12,26,27,35,LOCAL,2 - 3,2 ,3,63,0,0,1,8,2,14,0,41,79,70,0,0,0,1,0,1,0,0,0,0,0,1,2,43,0,2,11,26,B. Leverkusen,5,37,28,80,187,0
Bundesliga,Temporada2020,Jornada 22,Hertha BSC,13,26,27,38,VISITANTE,1 - 2, 2,3,60,0,0,1,8,1,12,1,31,66,69,0,0,0,1,0,4,1,0,0,0,0,0,2,42,0,1,14,23,Paderborn,18,16,26,74,181,0
Bundesliga,Temporada2020,Jornada 22,Köln,14,23,28,42,LOCAL,1 - 4,1 ,3,61,0,0,1,12,0,19,2,25,60,66,0,0,1,0,0,4,1,0,0,0,1,2,1,51,0,2,13,23,Bayern München,1,43,25,75,185,0
Bundesliga,Temporada2020,Jornada 22,Mainz 05,15,22,31,48,LOCAL,0 - 0,0 ,3,62,0,0,0,12,2,28,1,22,73,69,0,0,0,0,0,0,0,0,0,0,0,1,2,42,0,1,15,21,Schalke 04,6,35,25,75,181,0
