Liga,Temporada,Jornada,Equipo,Cambios realizados defensa partido,Cambio jugador lesion partido,Titulares cambiados respecto jornada anterior,PUNTOS Y,CUT1 Y,CUT2 Y
La Liga Santander,Temporada2020,Jornada 9,Barcelona,0,0,5,"-0,1098235","-0,3151471","0,3891261"
La Liga Santander,Temporada2020,Jornada 9,Real Madrid,0,0,7,"-0,1537529","-0,2712177","0,4330555"
La Liga Santander,Temporada2020,Jornada 9,Granada,0,1,4,"-0,325185","-0,0997856","0,6044876"
La Liga Santander,Temporada2020,Jornada 9,Real Sociedad,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 9,Atlético Madrid,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 9,Sevilla,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 9,Villarreal,1,0,2,"-0,3737118","-0,0512588","0,6530144"
La Liga Santander,Temporada2020,Jornada 9,Athletic Bilbao,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 9,Getafe,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 9,Valencia,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 9,Levante,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 9,Real Valladolid,1,0,1,"-0,3517471","-0,0732235","0,6310497"
La Liga Santander,Temporada2020,Jornada 9,Osasuna,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 9,Alavés,0,0,5,"-0,1098235","-0,3151471","0,3891261"
La Liga Santander,Temporada2020,Jornada 9,Real Mallorca,0,1,0,"-0,2373262","-0,1876444","0,5166288"
La Liga Santander,Temporada2020,Jornada 9,Eibar,0,0,5,"-0,1098235","-0,3151471","0,3891261"
La Liga Santander,Temporada2020,Jornada 9,Celta de Vigo,2,1,2,"-0,9408204","0,5158498","1,220123"
La Liga Santander,Temporada2020,Jornada 9,Real Betis,1,1,3,"-0,6330027","0,2080321","0,9123053"
La Liga Santander,Temporada2020,Jornada 9,Espanyol,1,0,5,"-0,4396059","0,0146353","0,7189085"
La Liga Santander,Temporada2020,Jornada 9,Leganés,1,0,5,"-0,4396059","0,0146353","0,7189085"
La Liga Santander,Temporada2020,Jornada 10,Granada,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 10,Barcelona,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 10,Real Sociedad,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 10,Real Madrid,0,0,6,"-0,1317882","-0,2931824","0,4110908"
La Liga Santander,Temporada2020,Jornada 10,Atlético Madrid,0,0,4,"-0,0878588","-0,3371118","0,3671614"
La Liga Santander,Temporada2020,Jornada 10,Sevilla,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 10,Villarreal,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 10,Osasuna,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 10,Real Valladolid,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 10,Athletic Bilbao,1,0,2,"-0,3737118","-0,0512588","0,6530144"
La Liga Santander,Temporada2020,Jornada 10,Getafe,1,0,1,"-0,3517471","-0,0732235","0,6310497"
La Liga Santander,Temporada2020,Jornada 10,Valencia,0,0,6,"-0,1317882","-0,2931824","0,4110908"
La Liga Santander,Temporada2020,Jornada 10,Alavés,1,0,0,"-0,3297824","-0,0951882","0,609085"
La Liga Santander,Temporada2020,Jornada 10,Levante,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 10,Real Mallorca,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 10,Eibar,1,0,4,"-0,4176412","-0,0073294","0,6969438"
La Liga Santander,Temporada2020,Jornada 10,Celta de Vigo,1,1,4,"-0,6549674","0,2299968","0,93427"
La Liga Santander,Temporada2020,Jornada 10,Real Betis,2,0,5,"-0,7693883","0,3444177","1,0486909"
La Liga Santander,Temporada2020,Jornada 10,Espanyol,1,0,1,"-0,3517471","-0,0732235","0,6310497"
La Liga Santander,Temporada2020,Jornada 10,Leganés,1,1,3,"-0,6330027","0,2080321","0,9123053"
La Liga Santander,Temporada2020,Jornada 11,Barcelona,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 11,Real Madrid,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 11,Sevilla,1,1,2,"-0,611038","0,1860674","0,8903406"
La Liga Santander,Temporada2020,Jornada 11,Atlético Madrid,0,0,4,"-0,0878588","-0,3371118","0,3671614"
La Liga Santander,Temporada2020,Jornada 11,Granada,2,0,5,"-0,7693883","0,3444177","1,0486909"
La Liga Santander,Temporada2020,Jornada 11,Real Sociedad,2,0,3,"-0,7254589","0,3004883","1,0047615"
La Liga Santander,Temporada2020,Jornada 11,Villarreal,0,0,4,"-0,0878588","-0,3371118","0,3671614"
La Liga Santander,Temporada2020,Jornada 11,Getafe,1,0,3,"-0,3956765","-0,0292941","0,6749791"
La Liga Santander,Temporada2020,Jornada 11,Athletic Bilbao,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 11,Osasuna,0,0,5,"-0,1098235","-0,3151471","0,3891261"
La Liga Santander,Temporada2020,Jornada 11,Levante,0,0,5,"-0,1098235","-0,3151471","0,3891261"
La Liga Santander,Temporada2020,Jornada 11,Valencia,0,1,6,"-0,3691144","-0,0558562","0,648417"
La Liga Santander,Temporada2020,Jornada 11,Real Valladolid,1,1,4,"-0,6549674","0,2299968","0,93427"
La Liga Santander,Temporada2020,Jornada 11,Eibar,0,0,4,"-0,0878588","-0,3371118","0,3671614"
La Liga Santander,Temporada2020,Jornada 11,Alavés,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 11,Real Betis,1,0,5,"-0,4396059","0,0146353","0,7189085"
La Liga Santander,Temporada2020,Jornada 11,Real Mallorca,0,0,1,"-0,0219647","-0,4030059","0,3012673"
La Liga Santander,Temporada2020,Jornada 11,Celta de Vigo,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 11,Espanyol,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 11,Leganés,2,0,6,"-0,791353","0,3663824","1,0706556"
La Liga Santander,Temporada2020,Jornada 12,Real Madrid,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 12,Barcelona,0,1,3,"-0,3032203","-0,1217503","0,5825229"
La Liga Santander,Temporada2020,Jornada 12,Real Sociedad,0,0,3,"-0,0658941","-0,3590765","0,3451967"
La Liga Santander,Temporada2020,Jornada 12,Atlético Madrid,2,0,4,"-0,7474236","0,322453","1,0267262"
La Liga Santander,Temporada2020,Jornada 12,Sevilla,0,1,4,"-0,325185","-0,0997856","0,6044876"
La Liga Santander,Temporada2020,Jornada 12,Granada,0,0,6,"-0,1317882","-0,2931824","0,4110908"
La Liga Santander,Temporada2020,Jornada 12,Getafe,0,0,6,"-0,1317882","-0,2931824","0,4110908"
La Liga Santander,Temporada2020,Jornada 12,Villarreal,0,0,4,"-0,0878588","-0,3371118","0,3671614"
La Liga Santander,Temporada2020,Jornada 12,Osasuna,0,0,5,"-0,1098235","-0,3151471","0,3891261"
La Liga Santander,Temporada2020,Jornada 12,Athletic Bilbao,0,0,2,"-0,0439294","-0,3810412","0,323232"
La Liga Santander,Temporada2020,Jornada 12,Levante,0,0,0,0,"-0,4249706","0,2793026"
